iter	Passed	Remaining
0	203	101335
1	329	82059
2	404	67014
3	491	60908
4	554	54914
5	598	49248
6	656	46249
7	720	44281
8	779	42519
9	848	41561
10	901	40074
11	948	38563
12	1002	37569
13	1064	36946
14	1120	36242
15	1160	35115
16	1202	34174
17	1244	33322
18	1291	32697
19	1340	32166
20	1382	31526
21	1425	30970
22	1477	30634
23	1521	30186
24	1569	29816
25	1607	29307
26	1655	28994
27	1695	28579
28	1749	28410
29	1817	28470
30	1859	28127
31	1911	27961
32	1968	27859
33	2028	27800
34	2071	27526
35	2127	27421
36	2189	27403
37	2226	27075
38	2280	26958
39	2337	26885
40	2420	27097
41	2479	27043
42	2523	26815
43	2561	26551
44	2618	26475
45	2684	26492
46	2736	26377
47	2792	26299
48	2840	26141
49	2885	25966
50	2964	26101
51	3037	26172
52	3105	26192
53	3177	26242
54	3258	26364
55	3349	26554
56	3438	26721
57	3529	26895
58	3623	27083
59	3674	26949
60	3735	26885
61	3800	26850
62	3848	26694
63	3923	26729
64	4000	26775
65	4064	26725
66	4125	26659
67	4174	26523
68	4244	26511
69	4283	26311
70	4352	26300
71	4423	26292
72	4491	26269
73	4550	26198
74	4610	26126
75	4666	26031
76	4730	25987
77	4790	25918
78	4859	25896
79	4904	25750
80	4958	25647
81	5018	25581
82	5075	25497
83	5121	25361
84	5139	25092
85	5205	25061
86	5286	25096
87	5360	25097
88	5418	25023
89	5480	24967
90	5562	25000
91	5623	24938
92	5667	24801
93	5711	24667
94	5764	24575
95	5831	24542
96	5906	24537
97	5976	24514
98	6049	24504
99	6121	24484
100	6170	24375
101	6248	24379
102	6289	24242
103	6352	24188
104	6415	24135
105	6487	24115
106	6558	24087
107	6626	24052
108	6703	24044
109	6785	24056
110	6856	24028
111	6943	24054
112	6981	23908
113	7037	23827
114	7096	23756
115	7148	23665
116	7215	23619
117	7291	23605
118	7364	23580
119	7442	23568
120	7513	23535
121	7534	23345
122	7605	23311
123	7679	23286
124	7767	23303
125	7835	23256
126	7927	23282
127	7994	23234
128	8066	23200
129	8122	23117
130	8165	23001
131	8238	22969
132	8298	22899
133	8376	22878
134	8448	22842
135	8544	22868
136	8618	22836
137	8695	22811
138	8782	22809
139	8866	22800
140	8943	22770
141	9002	22695
142	9083	22677
143	9153	22629
144	9258	22666
145	9310	22575
146	9368	22497
147	9440	22452
148	9485	22344
149	9564	22317
150	9609	22210
151	9677	22155
152	9748	22109
153	9827	22080
154	9922	22084
155	10025	22107
156	10092	22049
157	10177	22029
158	10259	22003
159	10331	21953
160	10417	21934
161	10504	21916
162	10574	21862
163	10658	21837
164	10729	21784
165	10786	21703
166	10858	21652
167	10956	21652
168	11052	21647
169	11104	21555
170	11181	21513
171	11271	21494
172	11379	21508
173	11455	21461
174	11526	21406
175	11621	21393
176	11705	21361
177	11788	21325
178	11875	21296
179	11936	21221
180	11981	21116
181	12059	21070
182	12154	21054
183	12232	21007
184	12300	20943
185	12401	20935
186	12504	20929
187	12574	20868
188	12647	20810
189	12744	20794
190	12835	20766
191	12944	20765
192	13047	20755
193	13127	20706
194	13200	20646
195	13290	20613
196	13376	20573
197	13442	20503
198	13505	20427
199	13592	20389
200	13678	20347
201	13761	20301
202	13857	20274
203	13950	20241
204	14014	20167
205	14093	20114
206	14131	20002
207	14219	19962
208	14299	19909
209	14376	19853
210	14446	19786
211	14503	19703
212	14571	19634
213	14632	19555
214	14723	19516
215	14812	19476
216	14901	19433
217	14977	19374
218	15089	19361
219	15201	19347
220	15298	19313
221	15393	19277
222	15454	19196
223	15539	19147
224	15617	19088
225	15703	19038
226	15787	18986
227	15842	18899
228	15921	18841
229	15981	18760
230	16049	18689
231	16119	18621
232	16210	18575
233	16272	18497
234	16352	18439
235	16453	18405
236	16553	18369
237	16645	18323
238	16751	18293
239	16842	18246
240	16921	18185
241	17018	18143
242	17113	18099
243	17187	18033
244	17252	17956
245	17333	17897
246	17389	17811
247	17461	17743
248	17551	17692
249	17626	17626
250	17711	17569
251	17819	17536
252	17905	17480
253	17991	17424
254	18095	17386
255	18176	17324
256	18257	17262
257	18343	17205
258	18390	17112
259	18468	17047
260	18531	16969
261	18614	16909
262	18703	16854
263	18790	16797
264	18874	16738
265	18952	16672
266	19031	16607
267	19109	16542
268	19187	16476
269	19270	16415
270	19312	16319
271	19388	16252
272	19478	16196
273	19550	16125
274	19637	16067
275	19715	16000
276	19787	15930
277	19859	15859
278	19945	15799
279	20033	15740
280	20113	15675
281	20220	15631
282	20335	15592
283	20445	15550
284	20545	15499
285	20668	15465
286	20751	15400
287	20834	15336
288	20915	15270
289	21003	15209
290	21100	15154
291	21185	15091
292	21279	15033
293	21366	14971
294	21444	14902
295	21530	14838
296	21606	14768
297	21683	14698
298	21769	14634
299	21852	14568
300	21946	14509
301	22036	14447
302	22125	14385
303	22210	14319
304	22261	14232
305	22371	14182
306	22463	14121
307	22538	14050
308	22632	13989
309	22713	13921
310	22802	13857
311	22873	13782
312	22961	13718
313	23027	13640
314	23124	13581
315	23216	13518
316	23322	13463
317	23370	13375
318	23458	13310
319	23551	13247
320	23636	13180
321	23770	13140
322	23853	13071
323	23954	13012
324	24023	12935
325	24100	12863
326	24173	12788
327	24264	12724
328	24376	12670
329	24458	12599
330	24532	12525
331	24621	12459
332	24701	12388
333	24792	12322
334	24869	12249
335	24941	12173
336	24998	12091
337	25085	12023
338	25165	11951
339	25239	11877
340	25316	11804
341	25401	11735
342	25458	11653
343	25542	11583
344	25599	11501
345	25656	11419
346	25736	11347
347	25813	11274
348	25889	11201
349	25970	11130
350	26052	11059
351	26089	10969
352	26165	10896
353	26255	10828
354	26337	10757
355	26424	10688
356	26492	10611
357	26579	10542
358	26691	10483
359	26783	10415
360	26871	10346
361	26964	10279
362	27058	10212
363	27143	10141
364	27216	10066
365	27290	9991
366	27381	9923
367	27466	9852
368	27544	9778
369	27636	9710
370	27719	9638
371	27817	9571
372	27887	9495
373	27967	9422
374	28061	9353
375	28154	9285
376	28214	9205
377	28293	9131
378	28404	9068
379	28495	8998
380	28588	8929
381	28682	8860
382	28771	8789
383	28861	8718
384	28944	8645
385	29034	8575
386	29117	8502
387	29206	8430
